Timestep,Hydro|Reservoir_FR_0,Hydro|Reservoir_ES_0,Hydro|Pumped Storage_ES_0,Hydro|Pumped Storage_FR_0,Battery|Lithium-Ion_FR_0,Battery|Lithium-Ion_PT_0
190,2.327255366796426e6,4.346085138205084e6,0.0,0.0,0.0,0.0
191,2.329560366796426e6,4.341509665099299e6,0.0,0.0,0.0,0.0
192,2.331865366796426e6,4.336934191993513e6,0.0,0.0,0.0,0.0
193,2.332507366796426e6,4.330889196570745e6,0.0,0.0,0.0,0.0
194,2.333149366796426e6,4.324844201147977e6,0.0,0.0,0.0,0.0
195,2.333551366796426e6,4.318541884306835e6,0.0,0.0,0.0,0.0
196,2.333953366796426e6,4.312239567465692e6,0.0,0.0,0.0,0.0
197,2.334360866796426e6,4.305921129282676e6,0.0,0.0,0.0,0.0
198,2.334768366796426e6,4.299602691099659e6,0.0,0.0,0.0,0.0
199,2.335248366796426e6,4.2932538703877255e6,0.0,0.0,0.0,0.0
200,2.335728366796426e6,4.286905049675792e6,0.0,0.0,0.0,0.0
201,2.336326366796426e6,4.281131016806832e6,0.0,0.0,0.0,0.0
202,2.336924366796426e6,4.27535698393787e6,0.0,0.0,0.0,0.0
203,2.338273866796426e6,4.269588531533403e6,0.0,0.0,0.0,0.0
204,2.339623366796426e6,4.263820079128937e6,0.0,0.0,0.0,0.0
205,2.340230866796426e6,4.262496087659888e6,0.0,0.0,0.0,0.0
206,2.340838366796426e6,4.261172096190839e6,0.0,0.0,0.0,0.0
207,2.341319366796426e6,4.256019941681901e6,0.0,0.0,0.0,0.0
208,2.341800366796426e6,4.250867787172962e6,0.0,0.0,0.0,0.0
209,2.344599866796426e6,4.246454147537528e6,0.0,0.0,0.0,0.0
210,2.347399366796426e6,4.242040507902094e6,0.0,0.0,0.0,0.0
211,2.351377366796426e6,4.241845699424783e6,0.0,0.0,0.0,0.0
212,2.355355366796426e6,4.24165089094747e6,0.0,0.0,0.0,0.0
213,2.357175866796426e6,4.241817572559104e6,0.0,0.0,0.0,0.0
214,2.358996366796426e6,4.241984254170738e6,0.0,0.0,0.0,0.0
215,2.360873366796426e6,4.238338238429154e6,0.0,0.0,0.0,0.0
216,2.362750366796426e6,4.23469222268757e6,0.0,0.0,0.0,0.0
217,2.363327866796426e6,4.22860940411656e6,0.0,0.0,0.0,0.0
218,2.363905366796426e6,4.222526585545548e6,0.0,0.0,0.0,0.0
219,2.364378866796426e6,4.216177764833615e6,0.0,0.0,0.0,0.0
220,2.364852366796426e6,4.209828944121682e6,0.0,0.0,0.0,0.0
221,2.366034866796426e6,4.203865175459895e6,0.0,0.0,0.0,0.0
222,2.367217366796426e6,4.197901406798108e6,0.0,0.0,0.0,0.0
223,2.366220581454745e6,4.194917606176581e6,0.0,0.0,0.0,0.0
224,2.365223796113064e6,4.1919338055550554e6,0.0,0.0,0.0,0.0
225,2.3683176941698333e6,4.1906253843852114e6,0.0,0.0,0.0,0.0
226,2.371411592226603e6,4.189316963215368e6,0.0,0.0,0.0,0.0
227,2.375932092226603e6,4.187346326925466e6,0.0,0.0,0.0,0.0
228,2.380452592226603e6,4.1853756906355643e6,0.0,0.0,0.0,0.0
229,2.383394092226603e6,4.1820589222991774e6,0.0,0.0,0.0,0.0
230,2.386335592226603e6,4.178742153962791e6,0.0,0.0,0.0,0.0
231,2.388190092226603e6,4.1748809803123493e6,0.0,0.0,0.0,0.0
232,2.390044592226603e6,4.171019806661907e6,0.0,0.0,0.0,0.0
233,2.3907839628057573e6,4.1692804496227372e6,0.0,0.0,0.0,0.0
234,2.3915233333849115e6,4.1675410925835674e6,0.0,0.0,0.0,0.0
235,2.396160253358838e6,4.16731652162895e6,0.0,0.0,0.0,0.0
236,2.4007971733327648e6,4.167091950674332e6,0.0,0.0,0.0,0.0
237,2.4028726733327648e6,4.1652943087837715e6,0.0,0.0,0.0,0.0
238,2.4049481733327648e6,4.1634966668932107e6,0.0,0.0,0.0,0.0
239,2.4067586733327648e6,4.158268899493136e6,0.0,0.0,0.0,0.0
240,2.4085691733327648e6,4.153041132093061e6,0.0,0.0,0.0,0.0
241,2.4095466733327648e6,4.1468752266062377e6,0.0,0.0,0.0,0.0
242,2.4105241733327648e6,4.140709321119414e6,0.0,0.0,0.0,0.0
243,2.4112206733327648e6,4.134436146703967e6,0.0,0.0,0.0,0.0
244,2.4119171733327648e6,4.12816297228852e6,0.0,0.0,0.0,0.0
245,2.4131416733327648e6,4.122076433407846e6,0.0,0.0,0.0,0.0
246,2.4143661733327648e6,4.1159898945271717e6,0.0,0.0,0.0,0.0
247,2.4149623631874733e6,4.1123693009016197e6,0.0,0.0,0.0,0.0
248,2.415558553042182e6,4.108748707276068e6,0.0,0.0,0.0,0.0
249,2.419575730208431e6,4.1069051815663273e6,0.0,0.0,0.0,0.0
250,2.42359290737468e6,4.1050616558565865e6,0.0,0.0,0.0,0.0
251,2.42852740737468e6,4.1029329064059965e6,0.0,0.0,0.0,0.0
252,2.43346190737468e6,4.100804156955407e6,0.0,0.0,0.0,0.0
253,2.43694040737468e6,4.1010756784675755e6,0.0,0.0,0.0,0.0
254,2.44041890737468e6,4.1013471999797435e6,0.0,0.0,0.0,0.0
255,2.44239290737468e6,4.099485665784802e6,0.0,0.0,0.0,0.0
256,2.44436690737468e6,4.09762413158986e6,0.0,0.0,0.0,0.0
257,2.44909390737468e6,4.095150013392199e6,0.0,0.0,0.0,0.0
258,2.45382090737468e6,4.092675895194538e6,0.0,0.0,0.0,0.0
259,2.4516794043798717e6,4.09303479280544e6,0.0,0.0,0.0,0.0
260,2.449537901385064e6,4.093393690416341e6,0.0,0.0,0.0,0.0
261,2.4499475529333698e6,4.091360428913775e6,0.0,0.0,0.0,0.0
262,2.4503572044816758e6,4.0893271674112086e6,0.0,0.0,0.0,0.0
263,2.4512822638450917e6,4.084353621171456e6,0.0,0.0,0.0,0.0
264,2.452207323208508e6,4.079380074931703e6,0.0,0.0,0.0,0.0
265,2.452928823208508e6,4.073093879432434e6,0.0,0.0,0.0,0.0
266,2.453650323208508e6,4.066807683933166e6,0.0,0.0,0.0,0.0
267,2.454200823208508e6,4.060612636020647e6,0.0,0.0,0.0,0.0
268,2.454751323208508e6,4.054417588108128e6,0.0,0.0,0.0,0.0
269,2.455873323208508e6,4.048735942929137e6,0.0,0.0,0.0,0.0
270,2.456995323208508e6,4.043054297750146e6,0.0,0.0,0.0,0.0
271,2.45797795822555e6,4.0416919320901856e6,0.0,0.0,0.0,0.0
272,2.4589605932425917e6,4.0403295664302246e6,0.0,0.0,0.0,0.0
273,2.4566885823127395e6,4.040220945126778e6,0.0,0.0,0.0,0.0
274,2.454416571382887e6,4.0401123238233314e6,0.0,0.0,0.0,0.0
275,2.457966627499069e6,4.0395938484053174e6,0.0,0.0,0.0,0.0
