Timestep,Import_FR_MW,Import_PT_MW
621,-2800.0,-829.5801540949997
622,-2800.0,2367.4728293852113
623,-2800.0,2367.4728293852113
624,-2800.0,1258.860214693501
625,-2800.0,1258.860214693501
626,-2800.0,-1972.3380229741397
627,-2800.0,-1972.3380229741397
628,-2800.0,-4200.0
629,-2800.0,-4200.0
630,-2800.0,-4200.0
631,-2800.0,-4200.0
632,-2800.0,-4089.5713639452492
633,-2800.0,-4089.5713639452492
634,-2800.0,-3406.7827953029996
635,-2800.0,-3406.7827953029996
636,-2800.0,-4200.0
637,-2800.0,-4200.0
638,-2800.0,-4200.0
639,-2800.0,-4200.0
640,-2800.0,-4200.0
641,-2800.0,-4200.0
642,-2800.0,-3370.184663450418
643,-2800.0,-3370.184663450418
644,-2800.0,-4200.0
645,-2800.0,-4200.0
646,-2800.0,-1555.7479776774999
647,-2800.0,-1555.7479776774999
648,-2800.0,-3382.338877633999
649,-2800.0,-3382.338877633999
650,-2800.0,-3007.178645749749
651,-2800.0,-3007.178645749749
652,-2800.0,-2954.61348924475
653,-2800.0,-2954.61348924475
654,-2800.0,-2962.5940163347495
655,-2800.0,-2962.5940163347495
656,-2800.0,-1347.653640806
657,-2800.0,-1347.653640806
658,-2800.0,-3952.89724501015
659,-2800.0,-3952.89724501015
660,-2800.0,-4042.8747361322503
661,-2800.0,-4042.8747361322503
662,-2800.0,-3886.485217778234
663,-2800.0,-3886.485217778234
664,-2800.0,-1835.9183206294992
665,-2800.0,-1835.9183206294992
666,-2800.0,-2714.795283637435
667,-2800.0,-2714.795283637435
668,-2800.0,-2104.6732481437125
669,-2800.0,-2104.6732481437125
670,-2800.0,-2807.224152022529
671,-2800.0,-2807.224152022529
672,-2800.0,394.94885095300015
673,-2800.0,394.94885095300015
674,-2800.0,833.9390099635011
675,-2800.0,833.9390099635011
676,-2800.0,761.1257950232975
677,-2800.0,761.1257950232975
678,-2800.0,868.2863806550004
679,-2800.0,868.2863806550004
680,-2800.0,218.28639948025102
681,-2800.0,218.28639948025102
682,-2800.0,-1330.3483152866538
683,-2800.0,-1330.3483152866538
684,-2800.0,-2769.0446253972505
685,-2800.0,-2769.0446253972505
686,-2800.0,-2981.30713041975
687,-2800.0,-2981.30713041975
688,-2800.0,-742.7419455080008
689,-2800.0,-742.7419455080008
690,-2800.0,-522.8090622454993
691,-2800.0,-522.8090622454993
692,-2800.0,-2024.7529556190202
693,-2800.0,-2024.7529556190202
694,-2800.0,-499.44403763624996
695,-2800.0,-499.44403763624996
696,-2800.0,-1794.83832298075
697,-2800.0,-1794.83832298075
698,-2800.0,-1852.9971249597497
699,-2800.0,-1852.9971249597497
700,-2800.0,-2015.1763827027503
701,-2800.0,-2015.1763827027503
702,-2800.0,-2005.4762006260003
703,-2800.0,-2005.4762006260003
704,-2800.0,-888.139314754415
705,-2800.0,-888.139314754415
706,-2800.0,-2252.0114013047423
707,-2800.0,-2252.0114013047423
708,-2800.0,-3781.87827807325
709,-2800.0,-3781.87827807325
710,-2800.0,-3709.8077608309995
711,-2800.0,-3709.8077608309995
712,-2800.0,-2302.332370747
713,-2800.0,-2302.332370747
714,-2800.0,641.2853285432775
715,-2800.0,641.2853285432775
716,-2800.0,-981.5228715036083
717,-2800.0,-981.5228715036083
718,-2800.0,-3778.2227318370005
719,-2800.0,-3778.2227318370005
720,-2800.0,-1411.0333891805003
721,-2800.0,-1411.0333891805003
722,-2800.0,-794.9758765844999
723,-2800.0,-794.9758765844999
724,-2800.0,-2192.64783379725
725,-2800.0,-2192.64783379725
726,-2800.0,-265.341139096
727,-2800.0,-265.341139096
728,-2800.0,-384.48873841124987
729,-2800.0,-384.48873841124987
730,-2800.0,-1738.3786840132498
731,-2800.0,-1738.3786840132498
732,-2800.0,-1578.1651671332493
733,-2800.0,-1578.1651671332493
734,-2800.0,-1902.1859829135792
735,-2800.0,-1902.1859829135792
736,-2800.0,-2025.14048129625
737,-2800.0,-2025.14048129625
738,-2800.0,-392.63280134374963
739,-2800.0,-392.63280134374963
740,-2800.0,-2012.3142329245002
741,-2800.0,-2012.3142329245002
742,-2800.0,-2190.1696592920007
743,-2800.0,-2190.1696592920007
744,-2800.0,-1615.2890506484996
745,-2800.0,-1615.2890506484996
746,-2800.0,-1943.8739334810002
747,-2800.0,-1943.8739334810002
748,-2800.0,-2172.07101798425
749,-2800.0,-2172.07101798425
750,-2800.0,-2080.5959023802498
751,-2800.0,-2080.5959023802498
752,-2800.0,-2788.14675723075
753,-2800.0,-2788.14675723075
754,-2800.0,-1703.3542152842501
755,-2800.0,-1703.3542152842501
756,-2800.0,-3714.4106301735
757,-2800.0,-3714.4106301735
758,-2800.0,-2543.0482700371467
759,-2800.0,-2543.0482700371467
760,-2800.0,-1204.7431954682497
761,-2800.0,-1204.7431954682497
762,-2800.0,-1872.5606859662494
763,-2800.0,-1872.5606859662494
764,-2800.0,681.7269807957528
765,-2800.0,681.7269807957528
766,-2800.0,-851.29273967675
767,-2800.0,-851.29273967675
768,-2800.0,-1865.3626833237504
769,-2800.0,-1865.3626833237504
770,-2800.0,-1585.8298011637498
771,-2800.0,-1585.8298011637498
772,-2800.0,-1248.052680746
773,-2800.0,-1248.052680746
774,-2800.0,-1662.6454780572494
775,-2800.0,-1662.6454780572494
776,-2800.0,-2141.8332329742498
777,-2800.0,-2141.8332329742498
778,-2800.0,-1426.4939490357492
779,-2800.0,-1426.4939490357492
